target_reduced_temperature,upside_delta_g_global,upside_p_nse,upside_p_dse,upside_mean_delta_g_hx,upside_mean_delta_g_hx_minus_global,skinner_global_reference,skinner_delta_g_global,skinner_mean_delta_g_hx,skinner_mean_delta_g_hx_minus_global
0.800000011920929,-0.49474340715493104,0.3110073866937216,0.6889926133062785,2.917154267263258,3.411897674418189,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
0.8100000023841858,-0.5745011548114727,0.2842162261295903,0.7157837738704097,2.791054291494049,3.365555446305521,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
0.8199999928474426,-0.659053757487821,0.2573896128198414,0.7426103871801586,2.6687419953357714,3.327795752823592,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
0.8300999999046326,-0.7500734133725611,0.23042453032850924,0.7695754696714907,2.547669430642959,3.2977428440155205,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
0.8403000235557556,-0.8488828643587994,0.20346540601464916,0.7965345939853509,2.4259062149891886,3.274789079347988,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
0.8504999876022339,-0.9562576465908087,0.17691293892103854,0.8230870610789615,2.301184004800775,3.257441651391583,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
0.8607000112533569,-1.0746562621965672,0.1508746754066006,0.8491253245933994,2.165209044039185,3.239865306235752,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
0.8711000084877014,-1.211458967620094,0.12480446533335968,0.8751955346666404,1.9866352469267052,3.1980942145467988,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
0.8815000057220459,-1.378281984049128,0.09833123637962332,0.9016687636203766,1.673759780041627,3.0520417640907547,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
0.8920000195503235,-1.6372527378210815,0.06709082366784067,0.9329091763321593,1.066197849057598,2.7034505868786796,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
0.9024999737739563,-2.2032253515424545,0.028135294009300225,0.9718647059906997,0.21635528916769356,2.4195806407101483,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
0.913100004196167,-3.2858787346293474,0.005052502649091666,0.9949474973509084,-0.4776843057922741,2.8081944288370733,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
0.9236999750137329,-4.639485782889825,0.0005758765950265872,0.9994241234049734,-0.7853981321791466,3.8540876507106776,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
0.9344000220298767,-6.063058768234529,5.842184150904624e-05,0.9999415781584909,-0.9035164012988446,5.159542366935685,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
0.9452000260353088,-7.498857761215325,5.8087483572817655e-06,0.9999941912516427,-0.9674986177368647,6.531359143478459,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
0.9559999704360962,-8.919967035087248,5.913247770730013e-07,0.999999408675223,-1.013460291318076,7.906506743769174,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
0.9668999910354614,-10.335508624567144,6.073724242119042e-08,0.9999999392627575,-1.0509563618299091,9.284552262737234,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
0.9779000282287598,-11.743888858275046,6.310795664660474e-09,0.9999999936892043,-1.0829459930803769,10.66094286519467,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
0.9889000058174133,-13.13214371265297,6.772753283503755e-10,0.9999999993227247,-1.1106376022782325,12.021506110374737,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
1.0,-14.513396236814035,7.350817077608226e-11,0.9999999999264918,-1.1352530064843853,13.37814323032965,kinetics_fig3_rounded,7.7,8.076666666666664,0.3766666666666664
